iter	Passed	Remaining
0	57	57100
1	57	28700
2	57	19247
3	58	14525
4	58	11685
5	59	9811
6	59	8455
7	59	7433
8	60	6637
9	60	5998
10	60	5477
11	61	5047
12	61	4678
13	61	4362
14	62	4089
15	62	3848
16	62	3637
17	63	3447
18	63	3278
19	63	3125
20	64	2986
21	64	2860
22	64	2745
23	64	2641
24	65	2545
25	65	2457
26	65	2374
27	66	2298
28	66	2230
29	66	2164
30	67	2102
31	67	2043
32	67	1989
33	68	1937
34	68	1889
35	68	1845
36	69	1801
37	69	1762
38	70	1725
39	70	1688
40	70	1654
41	71	1622
42	71	1589
43	71	1558
44	72	1528
45	72	1499
46	72	1471
47	72	1444
48	73	1419
49	73	1396
50	73	1373
51	74	1351
52	74	1334
53	75	1314
54	75	1295
55	75	1276
56	76	1258
57	76	1240
58	76	1223
59	77	1206
60	77	1190
61	77	1174
62	77	1158
63	78	1143
64	78	1129
65	78	1115
66	79	1101
67	79	1088
68	79	1075
69	79	1062
70	80	1050
71	80	1038
72	80	1026
73	81	1015
74	81	1006
75	81	996
76	82	985
77	82	975
78	82	965
79	83	955
80	83	945
81	83	936
82	83	925
83	84	916
84	84	908
85	84	900
86	85	892
87	85	885
88	85	878
89	86	871
90	86	864
91	86	857
92	87	849
93	87	842
94	87	835
95	88	828
96	88	822
97	88	816
98	89	810
99	89	804
100	89	798
101	90	792
102	90	786
103	90	780
104	90	775
105	91	769
106	91	764
107	91	759
108	92	754
109	92	749
110	92	743
111	93	738
112	93	733
113	93	728
114	93	723
115	94	718
116	94	713
117	94	708
118	95	703
119	95	699
120	95	694
121	95	690
122	96	686
123	96	681
124	96	677
125	97	673
126	97	668
127	97	664
128	97	660
129	98	657
130	98	653
131	98	649
132	99	645
133	99	642
134	99	638
135	100	635
136	100	632
137	100	628
138	101	626
139	101	623
140	101	620
141	101	616
142	102	613
143	102	610
144	102	607
145	103	604
146	103	601
147	103	597
148	104	595
149	104	592
150	104	590
151	105	587
152	105	585
153	106	582
154	106	580
155	106	577
156	107	575
157	107	572
158	107	569
159	108	567
160	108	563
161	108	561
162	108	558
163	109	555
164	109	553
165	109	550
166	109	548
167	110	545
168	110	543
169	110	540
170	111	538
171	111	536
172	111	534
173	112	531
174	112	529
175	112	527
176	113	525
177	113	523
178	113	521
179	113	519
180	114	517
181	114	514
182	114	512
183	115	510
184	115	508
185	115	506
186	116	505
187	116	503
188	116	501
189	117	500
190	117	499
191	118	497
192	118	496
193	118	494
194	119	492
195	119	490
196	119	488
197	120	486
198	120	485
199	120	483
200	121	481
201	121	480
202	121	478
203	122	476
204	122	475
205	122	473
206	123	472
207	123	470
208	123	468
209	124	467
210	124	465
211	124	463
212	125	461
213	125	460
214	125	458
215	125	456
216	126	455
217	126	453
218	126	452
219	127	450
220	127	448
221	127	447
222	127	445
223	128	444
224	128	442
225	128	441
226	129	439
227	129	438
228	129	436
229	130	435
230	130	433
231	130	432
232	130	431
233	131	429
234	131	428
235	131	427
236	132	426
237	132	425
238	133	423
239	133	422
240	133	421
241	134	419
242	134	418
243	134	417
244	135	416
245	135	414
246	135	413
247	135	412
248	136	411
249	136	410
250	137	408
251	137	407
252	137	406
253	138	405
254	138	404
255	138	403
256	139	402
257	139	401
258	139	400
259	140	399
260	140	398
261	140	396
262	141	395
263	141	394
264	141	393
265	142	392
266	142	391
267	142	389
268	143	389
269	143	387
270	143	386
271	144	385
272	144	384
273	144	383
274	144	381
275	145	380
276	145	379
277	145	378
278	146	377
279	146	376
280	146	375
281	147	374
282	147	373
283	147	372
284	147	371
285	148	370
286	148	369
287	149	368
288	149	367
289	149	366
290	149	365
291	150	364
292	150	363
293	150	362
294	151	361
295	151	360
296	151	359
297	152	358
298	152	357
299	152	356
300	153	355
301	153	354
302	153	353
303	154	352
304	154	351
305	154	350
306	155	349
307	155	348
308	155	348
309	155	347
310	156	346
311	156	345
312	156	344
313	157	343
314	157	342
315	157	341
316	158	340
317	158	339
318	158	338
319	158	337
320	159	336
321	159	335
322	159	335
